2026-04-20 09:47:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-20 09:47:43 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /resource/sse],参数类型[param],参数:[{"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJoQWthbWZiWFZuNFIyaGk5TXR0NnROWkY1TDFRVWdwZyIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.K9Q_Tb4DYDmt2ZmBb5cHIIfkXZUSqjJTluc6xLBxJq4"],"clientid":["e5cd7e4891bf95d1d19206ce24a7b32e"]}]
2026-04-20 09:47:43 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[17]毫秒
2026-04-20 09:47:48 [schedule-pool-1] INFO  o.d.c.sse.core.SseEmitterManager - SSE发送主题订阅消息topic:global:sse session keys:[1] message:上午好，欢迎登录 AI自动化运维系统
2026-04-20 09:47:48 [redisson-3-2] INFO  o.d.c.sse.listener.SseTopicListener - SSE主题订阅收到消息session keys=[1] message=上午好，欢迎登录 AI自动化运维系统
2026-04-20 09:47:48 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /resource/sse],参数类型[param],参数:[{"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJoQWthbWZiWFZuNFIyaGk5TXR0NnROWkY1TDFRVWdwZyIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.K9Q_Tb4DYDmt2ZmBb5cHIIfkXZUSqjJTluc6xLBxJq4"],"clientid":["e5cd7e4891bf95d1d19206ce24a7b32e"]}]
2026-04-20 09:47:48 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /resource/sse],耗时:[6]毫秒
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/getInfo],无参数
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/getInfo],耗时:[13]毫秒
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/getRouters],无参数
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/getRouters],耗时:[9]毫秒
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 20, 剩余令牌 => 17, 缓存key => 'global:rate_limit:/auth/tenant/list:0:0:0:0:0:0:0:1:'
2026-04-20 09:47:49 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /resource/sse],参数类型[param],参数:[{"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJoQWthbWZiWFZuNFIyaGk5TXR0NnROWkY1TDFRVWdwZyIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.K9Q_Tb4DYDmt2ZmBb5cHIIfkXZUSqjJTluc6xLBxJq4"],"clientid":["e5cd7e4891bf95d1d19206ce24a7b32e"]}]
2026-04-20 09:47:49 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[12]毫秒
2026-04-20 09:47:53 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /knowledge/document/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2026-04-20 09:47:53 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /knowledge/document/list],耗时:[32]毫秒
2026-04-20 09:47:57 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /knowledge/chat/sessions],无参数
2026-04-20 09:47:57 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /knowledge/chat/sessions],耗时:[14]毫秒
2026-04-20 09:47:59 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /knowledge/chat/messages/2045794542381043714],无参数
2026-04-20 09:47:59 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /knowledge/chat/messages/2045794542381043714],耗时:[25]毫秒
2026-04-20 09:48:23 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /inspection/prediction/list],无参数
2026-04-20 09:48:23 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /inspection/prediction/list],耗时:[45]毫秒
2026-04-20 09:48:30 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /inspection/alarm/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2026-04-20 09:48:30 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /inspection/alarm/list],耗时:[26]毫秒
2026-04-20 09:48:31 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /inspection/report/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2026-04-20 09:48:31 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /inspection/report/list],耗时:[24]毫秒
2026-04-20 09:55:24 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /knowledge/chat/sessions],无参数
2026-04-20 09:55:24 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /knowledge/chat/sessions],耗时:[12]毫秒
2026-04-20 09:55:26 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /knowledge/chat/messages/2045794542381043714],无参数
2026-04-20 09:55:26 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /knowledge/chat/messages/2045794542381043714],耗时:[16]毫秒
2026-04-20 10:24:52 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-20 10:24:52 [main] INFO  org.dromara.DromaraApplication - Starting DromaraApplication using Java 17.0.15 with PID 80338 (/Users/jun/IdeaProjects/ruoyi/RuoYi-Vue-Plus/ruoyi-admin/target/ruoyi-admin.jar started by jun in /Users/jun/IdeaProjects/ruoyi)
2026-04-20 10:24:52 [main] INFO  org.dromara.DromaraApplication - The following 1 profile is active: "dev"
2026-04-20 10:24:54 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-04-20 10:24:54 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-04-20 10:24:54 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-04-20 10:24:54 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@10c11e36
2026-04-20 10:24:54 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-04-20 10:24:54 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-04-20 10:24:54 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2026-04-20 10:24:55 [main] INFO  o.d.common.redis.config.RedisConfig - 初始化 redis 配置
2026-04-20 10:24:55 [main] INFO  org.redisson.Version - Redisson 3.52.0
2026-04-20 10:24:55 [redisson-netty-1-7] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2026-04-20 10:24:55 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for localhost/127.0.0.1:6379
2026-04-20 10:24:56 [main] INFO  o.d.common.json.config.JacksonConfig - 初始化 jackson 配置
2026-04-20 10:24:56 [main] INFO  o.d.k.s.chroma.ChromaApiService - Chroma Collection 已存在: name=knowledge_base, id=4d7aa315-679d-4445-a75b-008de5e8113d
2026-04-20 10:24:56 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: /Users/jun/snailJob/worker
2026-04-20 10:24:56 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: /Users/jun/snailJob/worker
2026-04-20 10:24:56 [main] INFO  c.a.s.c.j.c.e.b.AbstractScriptExecutor$SnailFileUtils - [FileUtils] [workspace] use user.home as workspace: /Users/jun/snailJob/worker
2026-04-20 10:24:56 [main] INFO  c.a.s.c.s.SnailJobClientJobCoreAutoConfiguration - Snail-Job 客户端IP为: 192.168.0.180
2026-04-20 10:24:56 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@27e32fe4
2026-04-20 10:24:58 [main] INFO  o.d.w.p.modes.sb.config.BeanConfig - 【warm-flow】，加载完成
2026-04-20 10:24:59 [main] INFO  io.undertow - starting server: Undertow - 2.3.23.Final
2026-04-20 10:24:59 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2026-04-20 10:24:59 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2026-04-20 10:24:59 [main] INFO  org.jboss.threads - JBoss Threads version 3.7.0.Final
2026-04-20 10:24:59 [main] INFO  org.dromara.DromaraApplication - Started DromaraApplication in 7.643 seconds (process running for 7.975)
2026-04-20 10:24:59 [main] INFO  o.d.c.sse.listener.SseTopicListener - 初始化SSE主题订阅监听器成功
2026-04-20 10:24:59 [main] INFO  o.d.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2026-04-20 10:24:59 [main] INFO  c.a.s.c.c.init.SnailJobStartListener - snail-job client is preparing to start... v1.9.0
2026-04-20 10:24:59 [main] INFO  c.a.s.c.c.r.c.g.SnailJobGrpcClient - gRPC client started connect to server
2026-04-20 10:24:59 [main] INFO  c.a.s.c.c.rpc.server.SnailGrpcServer - ------> snail-job remoting server start success, grpc = com.aizuda.snailjob.client.common.rpc.server.SnailGrpcServer, port = 28080
2026-04-20 10:25:00 [main] INFO  c.a.s.c.c.init.SnailJobStartListener - snail-job client started successfully v1.9.0
2026-04-20 10:25:39 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-20 10:25:39 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /],无参数
2026-04-20 10:25:39 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /],耗时:[18]毫秒
2026-04-20 10:25:54 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /resource/sse/close],无参数
2026-04-20 10:25:54 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /auth/logout],无参数
2026-04-20 10:25:54 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /auth/logout],耗时:[3]毫秒
2026-04-20 10:25:54 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/code],无参数
2026-04-20 10:25:54 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2026-04-20 10:25:54 [XNIO-1 task-4] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 20, 剩余令牌 => 19, 缓存key => 'global:rate_limit:/auth/tenant/list:0:0:0:0:0:0:0:1:'
2026-04-20 10:25:54 [XNIO-1 task-3] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 10, 剩余令牌 => 9, 缓存key => 'global:rate_limit:/auth/code:0:0:0:0:0:0:0:1:'
2026-04-20 10:25:54 [XNIO-1 task-4] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[56]毫秒
2026-04-20 10:25:54 [XNIO-1 task-2] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /resource/sse/close],耗时:[249]毫秒
2026-04-20 10:25:55 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/code],耗时:[538]毫秒
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /auth/login],参数类型[json],参数:[{"tenantId":"000000","username":"admin","rememberMe":false,"code":"9","uuid":"a48e0801b5bd424890d4e34bf7eabd63","clientId":"e5cd7e4891bf95d1d19206ce24a7b32e","grantType":"password"}]
2026-04-20 10:25:58 [async-1] INFO  o.d.s.s.i.SysLogininforServiceImpl - [0:0:0:0:0:0:0:1]内网IP[admin][Success][登录成功]
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.web.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJndEMzMHA5ZndPNXQxcktQbmg4b2JmRGdZeUhPaUFLdSIsImNsaWVudGlkIjoiZTVjZDdlNDg5MWJmOTVkMWQxOTIwNmNlMjRhN2IzMmUiLCJ0ZW5hbnRJZCI6IjAwMDAwMCIsInVzZXJJZCI6MSwidXNlck5hbWUiOiJhZG1pbiIsImRlcHRJZCI6MTAzLCJkZXB0TmFtZSI6IueglOWPkemDqOmXqCIsImRlcHRDYXRlZ29yeSI6IiJ9.Vdbpww6Kc66M2eKhCAfVPYwrHSTaZimoHdMwBLmqm_Y
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /auth/login],耗时:[220]毫秒
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/getInfo],无参数
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/getInfo],耗时:[50]毫秒
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/getRouters],无参数
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/getRouters],耗时:[22]毫秒
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2026-04-20 10:25:58 [XNIO-1 task-3] INFO  o.d.c.r.aspectj.RateLimiterAspect - 限制令牌 => 20, 剩余令牌 => 18, 缓存key => 'global:rate_limit:/auth/tenant/list:0:0:0:0:0:0:0:1:'
